District_C11ID,Area.Other.Kharif.Pulses,Prod.Other.Kharif.Pulses,Yield.Other.Kharif.Pulses,Area.Moong,Prod.Moong,Yield.Moong,Area.Moth,Prod.Moth,Yield.Moth,Area.Other.Rabi.Pulses,Prod.Other.Rabi.Pulses,Yield.Other.Rabi.Pulses,Area.Peas...Beans..Pulses.,Prod.Peas...Beans..Pulses.,Yield.Peas...Beans..Pulses.,Area.Urad,Prod.Urad,Yield.Urad,Area.Gram,Prod.Gram,Yield.Gram,Area.Masoor,Prod.Masoor,Yield.Masoor,Area.HorseGram,Prod.HorseGram,Yield.HorseGram,Area.Arhar..Tur.,Prod.Arhar..Tur.,Yield.Arhar..Tur.,areaTot,prodTot,yieldTot,diversity,dominant_pulses
452,15778.25,8875,0.54,1464,863,0.59,NA,NA,NA,36423.5,20616.5,0.565,11883.33333,7019,0.586666667,16592.75,9464,0.57,138302.5,145261.5,1.055,32444.66667,16966,0.523333333,NA,NA,NA,21321.75,29561.875,1.39875,274210.75,238626.875,0.870231656,3.322772461,Area.Gram
453,3147,608.75,0.1975,NA,NA,NA,NA,NA,NA,20738,5801.25,0.2725,8046,1624,0.2,3036.5,656.5,0.2175,6348.625,3345,0.5275,28971.66667,6582,0.226666667,NA,NA,NA,3171.25,2224.625,0.7225,73459.04167,20842.125,0.283724434,3.844438456,Area.Masoor
454,2864,578.75,0.205,12,4,0.33,NA,NA,NA,24236,6804.75,0.265,17068.33333,4126.333333,0.24,2277,541.5,0.2375,4660.375,2976.875,0.62875,14721,6032.666667,0.41,5.5,1.5,0.265,3166.125,2632.125,0.82,69010.33333,23698.5,0.343405094,4.175550842,Area.Other.Rabi.Pulses
455,20273.25,4225,0.22,1861,404,0.22,NA,NA,NA,4576.25,1685.75,0.365,3936.666667,1812.333333,0.46,10884.75,3038.25,0.275,27029.375,29194.75,1.045,1915.666667,848.6666667,0.443333333,105.25,31.5,0.31,21080,28851.375,1.37625,91662.20833,70091.625,0.7646731,4.806559773,Area.Gram
456,7161.75,1592.5,0.2225,502,166,0.33,NA,NA,NA,27537,11475,0.415,7863.666667,2842.333333,0.36,6259.75,1781.25,0.285,40466.5,26316.875,0.6475,12408.33333,4484.666667,0.36,4.5,2,0.44,6479.625,6569.75,0.9975,108683.125,55230.375,0.508178018,4.304138241,Area.Gram
457,2963,955.75,0.325,78,28,0.36,NA,NA,NA,17959.25,8990.75,0.5,668.6666667,193.3333333,0.29,5713,2169.5,0.3825,6260.625,5060.125,0.8075,103,31,0.3,1130.5,365.75,0.3225,2910,2911.875,1.00125,37786.04167,20706.08333,0.547982335,3.454114269,Area.Other.Rabi.Pulses
458,12211.25,4468.75,0.4175,1724,777,0.45,NA,NA,NA,10614.25,6481,0.605,267.3333333,142,0.53,2480.5,1184.5,0.48,120090.875,93264.75,0.80125,2082,1370.666667,0.656666667,NA,NA,NA,662,397.125,0.57625,150132.2083,108085.7917,0.7199374,1.533565626,Area.Gram
459,26946,12000,0.45,327,141,0.43,NA,NA,NA,11937,8055,0.67,2262.666667,1239.333333,0.543333333,32590,16221.25,0.4925,125670.8,101587,0.808,24811.66667,17729.33333,0.71,NA,NA,NA,95.8,58.8,0.604,224640.9333,157031.7167,0.699034296,2.750852957,Area.Gram
460,9854.5,3200,0.32,49,11,0.22,NA,NA,NA,6028.75,2079.5,0.36,533,188,0.353333333,5926.25,2022,0.3425,4059.875,1737.625,0.42625,630.6666667,257,0.41,93.75,24.75,0.26,8577.375,4338.25,0.51,35753.16667,13858.125,0.387605527,4.929304437,Area.Other.Kharif.Pulses
461,2920,819,0.28,4,1,0.25,NA,NA,NA,8168,3367,0.41,1487.666667,498.3333333,0.336666667,2690.75,900.75,0.3375,3486.6,1537,0.44,8783.666667,3494.333333,0.4,112.25,28.5,0.2575,3689.8,1639.2,0.442,31342.73333,12285.11667,0.391960603,5.235595194,Area.Masoor
